uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
KHMT,TV_US,22,47670,0,1297384,DT,1000000.000,77895,0.0,1348.1,112.1,247.5,POINT,45.739956,-108.139013,,,,,,,,,CDBS
KQHD-LD,TV_US,43,128831,0,1503343,LD,150.000,20778,260.0,1011.9,5.9,0.0,POINT,45.745258,-107.534803,,,,,,,,,CDBS
K24IQ-D,TV_US,24,181965,0,1604523,LD,1000.000,95145,0.0,1226.0,50.0,0.0,POINT,45.807176,-108.340686,,,,,,,,,CDBS
K28LF-D,TV_US,28,182638,0,1601670,LD,1000.000,98126,0.0,1226.0,50.0,0.0,POINT,45.807176,-108.340686,,,,,,,,,CDBS
K33KP-D,TV_US,33,182639,0,1604546,LD,1000.000,95147,0.0,1226.0,50.0,0.0,POINT,45.807176,-108.340686,,,,,,,,,CDBS
K38LU-D,TV_US,38,182640,0,1601671,LD,1000.000,98127,0.0,1226.0,50.0,0.0,POINT,45.807176,-108.340686,,,,,,,,,CDBS
KSVI,TV_US,18,5243,0,1293610,DT,1000000.000,29136,0.0,1265.5,88.5,227.5,POINT,45.807176,-108.340964,,,,,,,,,CDBS
KTVQ,TV_US,10,35694,0,1142867,DT,26100.000,73296,0.0,1230.4,112.4,180.0,POINT,45.766897,-108.457912,,,,,,,,,CDBS
K25BP,TV_US,25,5244,0,287356,TX,14000.000,21152,238.0,1161.0,49.0,0.0,POINT,45.767730,-108.458189,,,,,,,,,CDBS
K14IS-D,TV_US,14,74352,0,1336717,LD,10500.000,23503,0.0,1158.0,48.0,0.0,POINT,45.765683,-108.457400,,,,,,,,,CDBS
KBGS-TV,TV_US,16,169030,0,1323432,DT,29800.000,75286,0.0,1216.0,98.0,167.1,POINT,45.769175,-108.457995,,,,,,,,,CDBS
K48IQ,TV_US,48,125314,0,1178486,TX,9000.000,23503,0.0,1195.0,70.0,0.0,POINT,45.760230,-108.453189,,,,,,,,,CDBS
K36EZ,TV_US,36,12488,0,546337,TX,1050.000,0,0.0,1153.0,10.0,0.0,POINT,45.768286,-108.459856,,,,,,,,,CDBS
KULR-TV,TV_US,11,35724,0,1185560,DT,16000.000,74304,0.0,1243.0,110.0,191.0,POINT,45.759675,-108.454578,,,,,,,,,CDBS
K45KS,TV_US,45,131138,0,1310672,TX,1100.000,91379,260.0,1142.0,17.0,0.0,POINT,45.764119,-108.456800,,,,,,,,,CDBS
K51KR,TV_US,51,131137,0,1310674,TX,1100.000,89697,260.0,1142.0,17.0,0.0,POINT,45.764119,-108.456800,,,,,,,,,CDBS
K23HI,TV_US,23,126881,0,1199585,TX,100.000,20748,180.0,1013.0,6.0,0.0,POINT,45.798563,-108.542359,,,,,,,,,CDBS
K20HB,TV_US,20,125475,0,1027237,TX,51200.000,67656,0.0,1163.0,45.0,0.0,POINT,45.766619,-108.458189,,,,,,,,,CDBS
K27IM,TV_US,27,125462,0,1126274,TX,14000.000,16986,230.0,1137.0,43.0,0.0,POINT,45.767730,-108.457634,,,,,,,,,CDBS
K26GL-D,TV_US,26,130833,0,1567162,LD,5000.000,93864,20.0,1112.7,8.7,0.0,POINT,45.626608,-109.260717,,,,,,,,,CDBS
K24FL-D,TV_US,24,129406,0,1328660,LD,3200.000,20748,20.0,1112.7,8.7,0.0,POINT,45.626608,-109.260717,,,,,,,,,CDBS
K33EA,TV_US,33,5249,0,202211,TX,3800.000,23501,95.0,1253.0,5.0,0.0,POINT,45.643552,-109.295996,,,,,,,,,CDBS
K39HD-D,TV_US,39,130816,0,1396613,LD,210.000,96438,12.0,2098.0,7.0,0.0,POINT,45.121890,-109.270432,,,,,,,,,CDBS
K33LG-D,TV_US,33,185597,0,1485558,LD,1090.000,23503,0.0,1318.4,27.4,0.0,POINT,45.286169,-108.934199,,,,,,,,,CDBS
K35JW-D,TV_US,35,168741,0,1416928,LD,1090.000,23503,0.0,1318.4,27.4,0.0,POINT,45.286169,-108.934199,,,,,,,,,CDBS
K28LG-D,TV_US,28,168739,0,1416919,LD,1100.000,23503,0.0,1318.4,27.4,0.0,POINT,45.286169,-108.934199,,,,,,,,,CDBS
K31LE-D,TV_US,31,168740,0,1416926,LD,930.000,23503,95.0,1318.4,27.4,0.0,POINT,45.286169,-108.934199,,,,,,,,,CDBS
K38LV-D,TV_US,38,168742,0,1416933,LD,1090.000,23503,70.0,1318.4,27.4,0.0,POINT,45.286169,-108.934199,,,,,,,,,CDBS
K12BK,TV_US,12,73722,0,301990,TX,9.000,24547,235.0,1389.0,0.0,0.0,POINT,43.937179,-107.913148,,,,,,,,,CDBS
K41KM-D,TV_US,41,167623,0,1275466,LD,250.000,16357,270.0,1414.0,20.0,0.0,POINT,44.413013,-107.997600,,,,,,,,,CDBS
K49AI,TV_US,49,51616,0,28775,TX,1000.000,41592,0.0,2006.0,7.0,0.0,POINT,44.587176,-108.852912,,,,,,,,,CDBS
K50MY-D,TV_US,50,51631,0,1541329,LD,975.000,23503,0.0,2007.0,9.0,0.0,POINT,44.587176,-108.852912,,,,,,,,,CDBS
K47AD-D,TV_US,47,51607,0,1503262,LD,1200.000,23503,0.0,2001.0,6.0,0.0,POINT,44.587176,-108.852912,,,,,,,,,CDBS
K34HZ,TV_US,34,129088,0,1193120,TX,50.000,20778,50.0,2324.0,6.0,0.0,POINT,44.496619,-109.152647,,,,,,,,,CDBS
K32IF-D,TV_US,32,167626,0,1284480,LD,200.000,16357,0.0,2409.0,26.0,0.0,POINT,44.493563,-109.169314,,,,,,,,,CDBS
K20LT-D,TV_US,20,190501,0,1512431,LD,1260.000,23503,0.0,2384.6,7.6,0.0,POINT,44.493563,-109.169314,,,,,,,,,CDBS
K31JO-D,TV_US,31,167608,0,1284478,LD,250.000,16357,290.0,2188.0,19.0,0.0,POINT,44.074955,-108.936798,,,,,,,,,CDBS
K29IH-D,TV_US,29,167615,0,1488957,LD,250.000,108311,0.0,1971.0,15.0,0.0,POINT,44.212177,-108.859020,,,,,,,,,CDBS
K17KC-D,TV_US,17,51629,0,1502882,LD,1300.000,109338,0.0,1870.7,6.7,0.0,POINT,44.212177,-108.859020,,,,,,,,,CDBS
K21JU-D,TV_US,21,51599,0,1492716,LD,1340.000,108765,0.0,1870.7,6.7,0.0,POINT,44.212177,-108.858186,,,,,,,,,CDBS
KCWC-DT,TV_US,16,10036,1,1328440,LD,90.000,20748,170.0,1554.0,6.0,0.0,POINT,43.652178,-108.252044,,,,,,,,,CDBS
K47LK-D,TV_US,47,167620,0,1224761,LD,100.000,16357,40.0,3038.0,21.0,0.0,POINT,43.499397,-109.688491,,,,,,,,,CDBS
K24HW-D,TV_US,24,167625,0,1488953,LD,600.000,108348,40.0,1965.0,10.0,0.0,POINT,44.240504,-109.522387,,,,,,,,,CDBS
K07RS,TV_US,7,51627,0,54240,TX,89.000,23040,0.0,2411.0,0.0,0.0,POINT,44.485508,-109.175426,,,,,,,,,CDBS
K09SF,TV_US,9,51605,0,54239,TX,89.000,23040,0.0,2411.0,0.0,0.0,POINT,44.485508,-109.175426,,,,,,,,,CDBS
K43LY-D,TV_US,43,51609,0,1502866,LD,1000.000,108317,0.0,2004.0,6.0,0.0,POINT,44.606898,-108.859023,,,,,,,,,CDBS
K40JU-D,TV_US,40,167622,0,1272151,LD,250.000,16352,0.0,2006.0,11.0,0.0,POINT,44.587176,-108.852912,,,,,,,,,CDBS
K13SP,TV_US,13,51610,0,54242,TX,9.000,23169,0.0,2644.0,0.0,0.0,POINT,44.756892,-109.373214,,,,,,,,,CDBS
K11QL,TV_US,11,51622,0,54244,TX,123.000,23169,0.0,2644.0,0.0,0.0,POINT,44.756892,-109.373214,,,,,,,,,CDBS
K23IX-D,TV_US,23,167617,0,1352715,LD,250.000,16355,200.0,1346.0,10.0,0.0,POINT,44.938837,-109.117368,,,,,,,,,CDBS
K07QA,TV_US,7,51619,0,28773,TX,127.000,23035,217.0,1348.0,0.0,0.0,POINT,44.938837,-109.117368,,,,,,,,,CDBS
K29IG-D,TV_US,29,167609,0,1415073,LD,600.000,100900,310.0,2644.0,23.0,0.0,POINT,44.756892,-109.373214,,,,,,,,,CDBS
K02LH-D,TV_US,2,51612,0,1483193,LD,40.000,107647,180.0,2208.0,6.0,0.0,POINT,44.893556,-109.640171,,,,,,,,,CDBS
K19JM-D,TV_US,19,187426,0,1504041,LD,1000.000,100743,225.0,1725.0,6.0,0.0,POINT,45.335215,-110.690211,,,,,,,,,CDBS
K23LW-D,TV_US,23,51542,0,1504038,LD,1220.000,20396,225.0,1718.0,5.0,0.0,POINT,45.335103,-110.690711,,,,,,,,,CDBS
K27LO-D,TV_US,27,187425,0,1504031,LD,25.000,100693,225.0,1725.0,6.0,0.0,POINT,45.335215,-110.690211,,,,,,,,,CDBS
K21MA-D,TV_US,21,190254,0,1504046,LD,1000.000,20396,225.0,1732.0,6.0,0.0,POINT,45.335215,-110.690211,,,,,,,,,CDBS
K10AH-D,TV_US,10,51548,0,1504032,LD,160.000,106883,0.0,1718.0,5.0,0.0,POINT,45.335103,-110.690711,,,,,,,,,CDBS
K41KH-D,TV_US,41,167611,0,1317607,LD,100.000,16352,110.0,3181.0,8.0,0.0,POINT,43.597149,-110.871046,,,,,,,,,CDBS
K36JD-D,TV_US,36,168285,0,1331100,LD,85.000,94031,0.0,2443.0,14.0,0.0,POINT,43.461874,-110.754094,,,,,,,,,CDBS
K19FG-D,TV_US,19,10033,0,1390611,LD,230.000,95273,0.0,2376.0,6.0,0.0,POINT,43.462429,-110.751594,,,,,,,,,CDBS
K09LF,TV_US,9,66264,0,301288,TX,10.000,23846,305.0,2012.0,20.0,0.0,POINT,43.388818,-110.738258,,,,,,,,,CDBS
K29HG-D,TV_US,29,66255,0,1297631,LD,128.000,89334,155.0,3191.0,6.0,0.0,POINT,43.597149,-110.870768,,,,,,,,,CDBS
K39JU,TV_US,39,126439,0,1359050,TX,1000.000,97930,0.0,1926.0,30.0,0.0,POINT,43.481040,-110.765678,,,,,,,,,CDBS
K47MO-D,TV_US,47,182695,0,1441472,LD,900.000,95478,316.0,2605.0,8.0,0.0,POINT,43.106050,-110.230172,,,,,,,,,CDBS
K31DC,TV_US,31,38920,0,1049175,TX,200.000,20741,120.0,2720.0,4.0,0.0,POINT,43.118809,-111.130216,,,,,,,,,CDBS
K33DS,TV_US,33,38919,0,179264,TX,72.000,20741,80.0,1960.0,5.0,0.0,POINT,43.022976,-111.073270,,,,,,,,,CDBS
K13QH-D,TV_US,13,62464,0,1342149,LD,2.400,20786,145.0,1633.0,2.0,0.0,POINT,43.456306,-111.347171,,,,,,,,,CDBS
K13QE-D,TV_US,13,62407,0,1397795,LD,9.600,93894,0.0,2231.6,7.6,0.0,POINT,43.768812,-110.995219,,,,,,,,,CDBS
K07QC-D,TV_US,7,5302,0,1424517,LD,300.000,102978,0.0,2985.0,11.0,0.0,POINT,43.787981,-110.936051,,,,,,,,,CDBS
K51HF,TV_US,51,1266,0,1432477,TX,1000.000,20778,245.0,2995.0,8.0,0.0,POINT,43.788259,-110.934662,,,,,,,,,CDBS
K27KP-D,TV_US,27,184149,0,1459218,LD,640.000,23503,0.0,1910.0,50.0,0.0,POINT,43.685197,-111.115777,,,,,,,,,CDBS
K13UF-D,TV_US,13,1259,0,1306428,LD,300.000,92021,0.0,1589.0,15.0,0.0,POINT,43.799356,-111.776354,,,,,,,,,CDBS
K22IK-D,TV_US,22,168284,0,1322432,LD,68.000,89358,30.0,1559.0,90.0,0.0,POINT,43.721022,-111.942469,,,,,,,,,CDBS
K43JD-D,TV_US,43,125502,0,1187489,LD,19.700,20748,70.0,1601.6,7.6,0.0,POINT,43.755188,-111.967192,,,,,,,,,CDBS
K28LE-D,TV_US,28,181584,0,1626896,LD,7680.000,95165,0.0,1736.0,43.0,0.0,POINT,43.543275,-111.886439,,,,,,,,,CDBS
K39HJ,TV_US,39,129318,0,1189606,TX,700.000,40853,210.0,1532.0,90.0,0.0,POINT,43.516580,-112.011915,,,,,,,,,CDBS
K12NZ,TV_US,12,1258,0,1224954,TX,113.000,83367,130.0,1453.1,13.1,0.0,POINT,43.510886,-112.010609,,,,,,,,,CDBS
KIDK,TV_US,38,56028,1,1411168,LD,4000.000,23503,45.0,1545.0,76.0,0.0,POINT,43.721022,-111.942469,,,,,,,,,CDBS
K51HU,TV_US,51,128842,0,1189604,TX,1000.000,40368,0.0,1439.0,69.0,0.0,POINT,43.191582,-112.345533,,,,,,,,,CDBS
KXPI-LD,TV_US,34,28231,0,1610270,LD,5200.000,117314,70.0,1778.5,6.5,0.0,POINT,42.866025,-112.514148,,,,,,,,,CDBS
KFXP,TV_US,31,78910,0,1278631,DT,68500.000,87248,0.0,2057.0,156.0,447.0,POINT,42.920748,-112.346364,,,,,,,,,CDBS
K47JK-D,TV_US,47,130174,0,1224019,LD,15000.000,19470,30.0,1836.0,66.0,0.0,POINT,42.863803,-112.520260,,,,,,,,,CDBS
KXPI-LD,TV_US,34,28231,0,1411177,LD,5200.000,23503,90.0,1784.0,12.0,0.0,POINT,42.866025,-112.514148,,,,,,,,,CDBS
K21JC-D,TV_US,21,168290,0,1296355,LD,190.000,23503,0.0,1729.0,7.0,0.0,POINT,42.866025,-112.514148,,,,,,,,,CDBS
K40MS-D,TV_US,40,189407,0,1485658,LD,390.000,104827,0.0,1792.0,12.0,0.0,POINT,42.862692,-112.518315,,,,,,,,,CDBS
K41JC,TV_US,41,67918,0,999026,TX,16000.000,16977,295.0,2231.0,13.0,0.0,POINT,42.809080,-112.486091,,,,,,,,,CDBS
KPVI-DT,TV_US,23,1270,0,1138999,DT,505000.000,73086,0.0,2003.9,102.9,398.4,POINT,42.920137,-112.346531,,,,,,,,,CDBS
KISU-TV,TV_US,17,62430,2,1526053,DD,132.000,20753,0.0,1794.1,9.1,281.0,POINT,42.866778,-112.514176,,,,,,,,,CDBS
KIDK,TV_US,36,56028,0,1153815,DT,200000.000,28614,90.0,2034.0,31.0,457.0,POINT,43.497410,-112.664711,,,,,,,,,CDBS
KISU-TV,TV_US,17,62430,1,1526053,DD,189000.000,109839,0.0,2017.8,25.8,451.1,POINT,43.500465,-112.660822,,,,,,,,,CDBS
KIFI-TV,TV_US,8,66258,0,1317432,DT,63000.000,84916,0.0,2033.0,43.0,464.0,POINT,43.501021,-112.662766,,,,,,,,,CDBS
KISU-TV,TV_US,17,62430,0,1526053,DD,189000.000,0,0.0,0.0,0.0,0.0,POINT,43.500465,-112.660822,,,,,,,,,CDBS
K15HR,TV_US,15,62449,0,1147855,TX,148.000,46290,111.0,2354.0,5.0,0.0,POINT,43.927687,-113.673081,,,,,,,,,CDBS
K11BD-D,TV_US,11,36860,0,1412194,LD,3.000,99961,0.0,1863.1,6.1,0.0,POINT,44.708257,-113.334202,,,,,,,,,CDBS
K34CB-D,TV_US,34,58701,0,1412192,LD,70.000,99960,328.0,2499.1,6.1,0.0,POINT,44.667145,-113.350868,,,,,,,,,CDBS
K05BE-D,TV_US,5,58708,0,1412193,LD,13.000,100433,0.0,2499.1,6.1,0.0,POINT,44.874926,-113.578663,,,,,,,,,CDBS
K27MM-D,TV_US,27,58709,0,1615820,LD,386.000,115255,0.0,2499.1,6.1,0.0,POINT,44.924926,-113.578664,,,,,,,,,CDBS
K16KO-D,TV_US,16,186646,0,1508545,LD,154.000,99817,301.0,1840.1,6.1,0.0,POINT,44.667145,-113.350868,,,,,,,,,CDBS
K38OG-D,TV_US,38,186647,0,1508546,LD,168.000,99816,301.0,1840.1,6.1,0.0,POINT,44.667145,-113.350868,,,,,,,,,CDBS
K23JH-D,TV_US,23,168291,0,1407864,LD,250.000,76364,301.0,1840.0,5.0,0.0,POINT,44.667145,-113.350868,,,,,,,,,CDBS
K14IJ-D,TV_US,14,62446,0,1524204,LD,3.000,93303,218.0,1990.0,4.0,0.0,POINT,44.711034,-113.324479,,,,,,,,,CDBS
K30BU-D,TV_US,30,58703,0,1412191,LD,10.000,99941,228.0,2139.1,6.1,0.0,POINT,44.711034,-113.324479,,,,,,,,,CDBS
K13RV-D,TV_US,13,66265,0,1407863,LD,22.000,20786,228.0,1993.0,6.0,0.0,POINT,44.706312,-113.309478,,,,,,,,,CDBS
K12LS-D,TV_US,12,62451,0,1446336,LD,22.500,93268,0.0,2568.2,8.2,0.0,POINT,44.545757,-114.098115,,,,,,,,,CDBS
K11TY-D,TV_US,11,58704,0,1413374,LD,18.000,99959,0.0,1455.0,5.0,0.0,POINT,45.067979,-113.875899,,,,,,,,,CDBS
K08PI-D,TV_US,8,58700,0,1419346,LD,18.000,102815,0.0,1564.0,5.0,0.0,POINT,45.067979,-113.875899,,,,,,,,,CDBS
K05ML-D,TV_US,5,181578,0,1440415,LD,6.000,94874,0.0,1924.7,10.7,0.0,POINT,45.821531,-113.994746,,,,,,,,,CDBS
K03IA-D,TV_US,3,181577,0,1440416,LD,5.000,94876,0.0,1921.6,7.6,0.0,POINT,45.821531,-113.994746,,,,,,,,,CDBS
K09YT-D,TV_US,9,183070,0,1440412,LD,11.000,95594,0.0,1923.1,9.1,0.0,POINT,45.821531,-113.994746,,,,,,,,,CDBS
K49IC-D,TV_US,49,62462,0,1455583,LD,430.000,20735,69.0,2805.0,8.0,0.0,POINT,45.145477,-114.009237,,,,,,,,,CDBS
K09SD-D,TV_US,9,58681,0,1400413,LD,25.000,99939,333.0,2499.1,6.1,0.0,POINT,44.924926,-113.578664,,,,,,,,,CDBS
K44KM-D,TV_US,44,58706,0,1419345,LD,110.000,99936,0.0,2805.0,20.0,0.0,POINT,45.145755,-114.009237,,,,,,,,,CDBS
K42JX-D,TV_US,42,58698,0,1419343,LD,110.000,99937,0.0,2805.0,20.0,0.0,POINT,45.145755,-114.009237,,,,,,,,,CDBS
K46EC-D,TV_US,46,58705,0,1404685,LD,110.000,102339,0.0,2805.0,20.0,0.0,POINT,45.145755,-114.009237,,,,,,,,,CDBS
K40LW-D,TV_US,40,58710,0,1419342,LD,110.000,99938,0.0,2805.0,20.0,0.0,POINT,45.145755,-114.009237,,,,,,,,,CDBS
K07OC-D,TV_US,7,24900,0,1502185,LD,26.000,109050,138.0,2358.1,6.1,0.0,POINT,45.433258,-113.150878,,,,,,,,,CDBS
K09MY-D,TV_US,9,24901,0,1502187,LD,26.000,109051,138.0,2358.1,6.1,0.0,POINT,45.433258,-113.150878,,,,,,,,,CDBS
K51DW-D,TV_US,51,18086,0,1458786,LD,152.000,96133,90.0,1793.0,8.0,0.0,POINT,45.239089,-112.668911,,,,,,,,,CDBS
K10HL-D,TV_US,10,18075,0,1458787,LD,12.000,96139,0.0,2139.6,4.6,0.0,POINT,45.274925,-111.954980,,,,,,,,,CDBS
K31KR-D,TV_US,31,181980,0,1604594,LD,1000.000,95020,0.0,1581.0,25.0,0.0,POINT,45.767706,-111.579971,,,,,,,,,CDBS
K44JW-D,TV_US,44,182448,0,1604610,LD,1000.000,95019,0.0,1581.0,25.0,0.0,POINT,45.767706,-111.579971,,,,,,,,,CDBS
K46KO-D,TV_US,46,182450,0,1604599,LD,1000.000,95018,0.0,1581.0,25.0,0.0,POINT,45.767706,-111.579971,,,,,,,,,CDBS
K48LV-D,TV_US,48,182453,0,1604604,LD,1000.000,95016,0.0,1581.0,25.0,0.0,POINT,45.767706,-111.579971,,,,,,,,,CDBS
K49KA-D,TV_US,49,168884,0,1362333,LD,338.000,23503,0.0,1381.0,36.0,0.0,POINT,45.876038,-112.088049,,,,,,,,,CDBS
K40HL-D,TV_US,40,128779,0,1385002,LD,1700.000,99553,0.0,2008.2,12.2,0.0,POINT,45.920760,-112.021658,,,,,,,,,CDBS
K43DU-D,TV_US,43,33757,0,1358451,LD,4550.000,76853,0.0,2531.2,15.2,0.0,POINT,46.007427,-112.442517,,,,,,,,,CDBS
KWYB,TV_US,19,14674,0,1236747,DT,110700.000,83344,0.0,2573.0,80.0,585.2,POINT,46.006593,-112.442517,,,,,,,,,CDBS
K27CD-D,TV_US,27,6526,0,1327983,LD,372.000,23503,0.0,1831.0,12.0,0.0,POINT,46.259373,-112.153058,,,,,,,,,CDBS
K08KT-D,TV_US,8,6520,0,1331626,LD,19.000,94688,0.0,1695.1,9.1,0.0,POINT,46.255762,-112.148891,,,,,,,,,CDBS
K13KP-D,TV_US,13,6522,0,1327980,LD,19.000,94495,0.0,1695.1,9.1,0.0,POINT,46.255762,-112.148891,,,,,,,,,CDBS
K11LA-D,TV_US,11,4044,0,1344151,LD,15.000,96233,130.0,1683.1,6.1,0.0,POINT,46.275346,-112.269149,,,,,,,,,CDBS
K09BG-D,TV_US,9,4043,0,1344158,LD,6.000,96234,0.0,1683.1,6.1,0.0,POINT,46.275346,-112.269149,,,,,,,,,CDBS
K34II,TV_US,34,125210,0,1375557,TX,2000.000,20058,160.0,1929.0,36.0,0.0,POINT,46.027982,-112.535301,,,,,,,,,CDBS
KXLF-TV,TV_US,5,35959,0,1251891,DT,10000.000,85746,0.0,2564.3,48.3,588.0,POINT,46.007427,-112.442517,,,,,,,,,CDBS
KTVM-TV,TV_US,6,18066,0,1378707,DT,19200.000,98921,0.0,2566.3,53.3,591.3,POINT,46.007427,-112.442517,,,,,,,,,CDBS
K39JC-D,TV_US,39,167489,0,1318537,LD,625.000,20058,160.0,1929.0,36.0,0.0,POINT,46.027982,-112.535301,,,,,,,,,CDBS
K20KL-D,TV_US,20,183079,0,1596518,LD,5.000,95579,20.0,1286.6,8.6,0.0,POINT,46.617290,-113.182092,,,,,,,,,CDBS
K26KA-D,TV_US,26,183078,0,1596522,LD,5.000,95578,20.0,1286.6,8.6,0.0,POINT,46.617290,-113.182092,,,,,,,,,CDBS
K35JT-D,TV_US,35,183076,0,1596526,LD,5.000,95577,20.0,1286.6,8.6,0.0,POINT,46.617290,-113.182092,,,,,,,,,CDBS
K45LA-D,TV_US,45,183075,0,1596530,LD,5.000,95576,20.0,1286.6,8.6,0.0,POINT,46.617290,-113.182092,,,,,,,,,CDBS
K17JS-D,TV_US,17,183063,0,1596533,LD,11.000,95572,90.0,1572.6,8.6,0.0,POINT,46.338203,-113.338455,,,,,,,,,CDBS
K25LF-D,TV_US,25,183064,0,1596535,LD,11.000,95573,90.0,1572.6,8.6,0.0,POINT,46.338203,-113.338455,,,,,,,,,CDBS
K30KY-D,TV_US,30,183065,0,1596538,LD,11.000,95574,90.0,1572.6,8.6,0.0,POINT,46.338203,-113.338455,,,,,,,,,CDBS
K40LF-D,TV_US,40,183067,0,1596539,LD,11.000,95575,90.0,1572.6,8.6,0.0,POINT,46.338203,-113.338455,,,,,,,,,CDBS
K36CX-D,TV_US,36,6527,0,1328266,LD,182.000,93301,0.0,1702.0,17.0,0.0,POINT,46.510211,-111.932769,,,,,,,,,CDBS
K48EG-D,TV_US,48,58661,0,1361990,LD,150.000,20741,90.0,1276.0,5.0,0.0,POINT,47.263263,-114.081496,,,,,,,,,CDBS
K14IU-D,TV_US,14,18067,0,1404435,LD,351.000,96137,30.0,1776.0,8.0,0.0,POINT,46.853258,-113.928995,,,,,,,,,CDBS
KUFM-TV,TV_US,11,66611,0,1399811,DT,12300.000,93543,0.0,1909.0,31.0,633.8,POINT,46.802424,-113.973442,,,,,,,,,CDBS
KPAX-TV,TV_US,7,35455,0,1168658,DT,22500.000,75621,0.0,2151.7,73.7,653.5,POINT,47.018258,-114.012332,,,,,,,,,CDBS
KECI-TV,TV_US,13,18084,0,1382289,DT,41300.000,98923,0.0,2152.0,74.0,610.0,POINT,47.017702,-114.013999,,,,,,,,,CDBS
K08PR-D,TV_US,8,190528,0,1561520,LD,3000.000,109404,0.0,2152.0,74.0,0.0,POINT,47.017146,-114.013999,,,,,,,,,CDBS
KTMF,TV_US,23,14675,0,1316508,DT,92600.000,87965,0.0,2148.0,78.0,642.0,POINT,47.019369,-114.013721,,,,,,,,,CDBS
K11FF,TV_US,11,64032,0,4072,TX,7.000,24554,39.0,1286.0,0.0,0.0,POINT,47.174927,-114.917632,,,,,,,,,CDBS
K03DT,TV_US,3,64031,0,4071,TX,57.000,24554,39.0,1282.0,0.0,0.0,POINT,47.174927,-114.917632,,,,,,,,,CDBS
K23HT-D,TV_US,23,62463,0,1437420,LD,282.500,23503,0.0,1781.6,5.6,0.0,POINT,47.363525,-116.412944,,,,,,,,,CDBS
K10HM,TV_US,10,62171,0,301469,TX,24.000,24536,138.0,1054.0,0.0,0.0,POINT,47.318819,-115.118751,,,,,,,,,CDBS
K05DS,TV_US,5,62172,0,304631,TX,9.000,18575,145.0,1054.0,0.0,0.0,POINT,47.318819,-115.118751,,,,,,,,,CDBS
K08OY-D,TV_US,8,181783,0,1424897,LD,50.000,94877,135.0,1227.1,5.1,0.0,POINT,47.524937,-114.958748,,,,,,,,,CDBS
K05GM-D,TV_US,5,52780,0,1291187,LD,17.000,90519,135.0,1225.4,3.4,0.0,POINT,47.524937,-114.958748,,,,,,,,,CDBS
K07CH-D,TV_US,7,52777,0,1291189,LD,30.000,90518,135.0,1226.3,3.3,0.0,POINT,47.524937,-114.958748,,,,,,,,,CDBS
K11JP-D,TV_US,11,52778,0,1318263,LD,42.000,90516,0.0,1227.3,3.3,0.0,POINT,47.520771,-114.958748,,,,,,,,,CDBS
K29ID-D,TV_US,29,52775,0,1575337,LD,914.000,111464,330.0,2086.7,3.7,0.0,POINT,47.372155,-114.859021,,,,,,,,,CDBS
K48LG-D,TV_US,48,52779,0,1575351,LD,1040.000,111465,330.0,2086.7,3.7,0.0,POINT,47.372155,-114.859021,,,,,,,,,CDBS
K43NN-D,TV_US,43,187602,0,1449767,LD,50.000,0,200.0,996.1,16.5,0.0,POINT,47.595825,-115.280845,,,,,,,,,CDBS
K45LB-D,TV_US,45,181904,0,1402619,LD,53.000,20717,200.0,996.1,16.5,0.0,POINT,47.595825,-115.280845,,,,,,,,,CDBS
K48MB-D,TV_US,48,181906,0,1402620,LD,53.000,20717,200.0,996.1,16.5,0.0,POINT,47.595825,-115.280845,,,,,,,,,CDBS
K50LS-D,TV_US,50,181907,0,1402623,LD,53.000,20717,200.0,996.1,16.5,0.0,POINT,47.595825,-115.280845,,,,,,,,,CDBS
K36BW-D,TV_US,36,66965,0,1402616,LD,185.000,20741,35.0,1566.0,14.0,0.0,POINT,47.540779,-115.319236,,,,,,,,,CDBS
K11FQ-D,TV_US,11,66962,0,1317400,LD,33.000,80349,0.0,1564.2,12.2,0.0,POINT,47.540779,-115.319236,,,,,,,,,CDBS
K07FL-D,TV_US,7,66964,0,1317396,LD,33.000,80347,0.0,1564.2,12.2,0.0,POINT,47.540779,-115.319236,,,,,,,,,CDBS
K09FQ-D,TV_US,9,66961,0,1317398,LD,33.000,80348,0.0,1564.2,12.2,0.0,POINT,47.540779,-115.319236,,,,,,,,,CDBS
K04QV-D,TV_US,4,181919,0,1402618,LD,10.000,94990,0.0,1562.2,14.2,0.0,POINT,47.540824,-115.318067,,,,,,,,,CDBS
K15IY-D,TV_US,15,187606,0,1449751,LD,125.000,100712,165.0,1443.2,12.2,0.0,POINT,47.954906,-115.670813,,,,,,,,,CDBS
K06QF-D,TV_US,6,182005,0,1530024,LD,50.000,95013,165.0,1443.0,12.0,0.0,POINT,47.954906,-115.670813,,,,,,,,,CDBS
K13ZN-D,TV_US,13,182009,0,1354662,LD,50.000,95017,165.0,1442.6,11.6,0.0,POINT,47.954906,-115.670813,,,,,,,,,CDBS
K08OZ-D,TV_US,8,181555,0,1354659,LD,19.000,96015,10.0,1441.7,10.7,0.0,POINT,47.954990,-115.670813,,,,,,,,,CDBS
